date,station,quartier,temperature
2022-03-20T23:00:00Z,Zch_Schimmelstrasse,Sihlfeld,16.12
2022-03-20T23:00:00Z,Zch_Rosengartenstrasse,Wipkingen,15.89
2022-03-21T23:00:00Z,Zch_Stampfenbachstrasse,Rathaus,16.5
2022-03-21T23:00:00Z,Zch_Schimmelstrasse,Sihlfeld,16.53
2022-03-21T23:00:00Z,Zch_Rosengartenstrasse,Wipkingen,16.68
2022-03-22T23:00:00Z,Zch_Stampfenbachstrasse,Rathaus,17.87
2022-03-22T23:00:00Z,Zch_Schimmelstrasse,Sihlfeld,17.92
2022-03-22T23:00:00Z,Zch_Rosengartenstrasse,Wipkingen,18.51
2022-03-23T23:00:00Z,Zch_Stampfenbachstrasse,Rathaus,18.29
2022-03-23T23:00:00Z,Zch_Schimmelstrasse,Sihlfeld,18.49
2022-03-23T23:00:00Z,Zch_Rosengartenstrasse,Wipkingen,18.86
2022-03-24T23:00:00Z,Zch_Stampfenbachstrasse,Rathaus,18.73
2022-03-24T23:00:00Z,Zch_Schimmelstrasse,Sihlfeld,18.71
2022-03-24T23:00:00Z,Zch_Rosengartenstrasse,Wipkingen,18.74
2022-03-25T23:00:00Z,Zch_Stampfenbachstrasse,Rathaus,19.02
2022-03-25T23:00:00Z,Zch_Schimmelstrasse,Sihlfeld,19.1
2022-03-25T23:00:00Z,Zch_Rosengartenstrasse,Wipkingen,19.16
2022-03-26T23:00:00Z,Zch_Stampfenbachstrasse,Rathaus,19.4
2022-03-26T23:00:00Z,Zch_Schimmelstrasse,Sihlfeld,19.58
2022-03-26T23:00:00Z,Zch_Rosengartenstrasse,Wipkingen,19.64
2022-03-27T23:00:00Z,Zch_Stampfenbachstrasse,Rathaus,20.2
2022-03-27T23:00:00Z,Zch_Schimmelstrasse,Sihlfeld,20.23
2022-03-27T23:00:00Z,Zch_Rosengartenstrasse,Wipkingen,20.37
2022-03-28T23:00:00Z,Zch_Stampfenbachstrasse,Rathaus,18.23
2022-03-28T23:00:00Z,Zch_Schimmelstrasse,Sihlfeld,18.68
2022-03-28T23:00:00Z,Zch_Rosengartenstrasse,Wipkingen,18.39
2022-03-29T23:00:00Z,Zch_Stampfenbachstrasse,Rathaus,13.96
2022-03-29T23:00:00Z,Zch_Schimmelstrasse,Sihlfeld,14.09
2022-03-29T23:00:00Z,Zch_Rosengartenstrasse,Wipkingen,13.55
2022-03-30T23:00:00Z,Zch_Stampfenbachstrasse,Rathaus,11.01
2022-03-30T23:00:00Z,Zch_Schimmelstrasse,Sihlfeld,11.49
2022-03-30T23:00:00Z,Zch_Rosengartenstrasse,Wipkingen,10.84
2022-03-31T23:00:00Z,Zch_Stampfenbachstrasse,Rathaus,6.49
2022-03-31T23:00:00Z,Zch_Schimmelstrasse,Sihlfeld,5.97
2022-03-31T23:00:00Z,Zch_Rosengartenstrasse,Wipkingen,5.86
2022-04-01T23:00:00Z,Zch_Stampfenbachstrasse,Rathaus,2.3
2022-04-01T23:00:00Z,Zch_Schimmelstrasse,Sihlfeld,1.89
2022-04-01T23:00:00Z,Zch_Rosengartenstrasse,Wipkingen,1.45
2022-04-02T23:00:00Z,Zch_Stampfenbachstrasse,Rathaus,3.15
2022-04-02T23:00:00Z,Zch_Schimmelstrasse,Sihlfeld,4.13
2022-04-02T23:00:00Z,Zch_Rosengartenstrasse,Wipkingen,3.04
2022-04-03T23:00:00Z,Zch_Stampfenbachstrasse,Rathaus,8.2
2022-04-03T23:00:00Z,Zch_Schimmelstrasse,Sihlfeld,8.1
2022-04-03T23:00:00Z,Zch_Rosengartenstrasse,Wipkingen,8.54
2022-04-04T23:00:00Z,Zch_Stampfenbachstrasse,Rathaus,10.98
2022-04-04T23:00:00Z,Zch_Schimmelstrasse,Sihlfeld,10.87
2022-04-04T23:00:00Z,Zch_Rosengartenstrasse,Wipkingen,10.94
2022-04-05T23:00:00Z,Zch_Stampfenbachstrasse,Rathaus,16.71
2022-04-05T23:00:00Z,Zch_Schimmelstrasse,Sihlfeld,17.07
2022-04-05T23:00:00Z,Zch_Rosengartenstrasse,Wipkingen,17.36
2022-04-06T23:00:00Z,Zch_Stampfenbachstrasse,Rathaus,13.18
2022-04-06T23:00:00Z,Zch_Schimmelstrasse,Sihlfeld,13.74
2022-04-06T23:00:00Z,Zch_Rosengartenstrasse,Wipkingen,13.23
2022-04-07T23:00:00Z,Zch_Stampfenbachstrasse,Rathaus,15.07
2022-04-07T23:00:00Z,Zch_Schimmelstrasse,Sihlfeld,15.51
2022-04-07T23:00:00Z,Zch_Rosengartenstrasse,Wipkingen,15.1
2022-04-08T23:00:00Z,Zch_Stampfenbachstrasse,Rathaus,11.85
2022-04-08T23:00:00Z,Zch_Schimmelstrasse,Sihlfeld,11.92
2022-04-08T23:00:00Z,Zch_Rosengartenstrasse,Wipkingen,11.76
2022-04-09T23:00:00Z,Zch_Stampfenbachstrasse,Rathaus,10.83
2022-04-09T23:00:00Z,Zch_Schimmelstrasse,Sihlfeld,10.91
2022-04-09T23:00:00Z,Zch_Rosengartenstrasse,Wipkingen,10.93
2022-04-10T23:00:00Z,Zch_Stampfenbachstrasse,Rathaus,16.64
2022-04-10T23:00:00Z,Zch_Schimmelstrasse,Sihlfeld,17.11
2022-04-10T23:00:00Z,Zch_Rosengartenstrasse,Wipkingen,17.2
2022-04-11T23:00:00Z,Zch_Stampfenbachstrasse,Rathaus,20.88
2022-04-11T23:00:00Z,Zch_Schimmelstrasse,Sihlfeld,21.01
2022-04-11T23:00:00Z,Zch_Rosengartenstrasse,Wipkingen,22.02
2022-04-12T23:00:00Z,Zch_Stampfenbachstrasse,Rathaus,23.07
2022-04-12T23:00:00Z,Zch_Schimmelstrasse,Sihlfeld,23.53
2022-04-12T23:00:00Z,Zch_Rosengartenstrasse,Wipkingen,23.24
2022-04-13T23:00:00Z,Zch_Stampfenbachstrasse,Rathaus,22.82
2022-04-13T23:00:00Z,Zch_Schimmelstrasse,Sihlfeld,22.76
2022-04-13T23:00:00Z,Zch_Rosengartenstrasse,Wipkingen,23.08
2022-04-14T23:00:00Z,Zch_Stampfenbachstrasse,Rathaus,20.3
2022-04-14T23:00:00Z,Zch_Schimmelstrasse,Sihlfeld,20.6
2022-04-14T23:00:00Z,Zch_Rosengartenstrasse,Wipkingen,20.76
2022-04-15T23:00:00Z,Zch_Stampfenbachstrasse,Rathaus,14.36
2022-04-15T23:00:00Z,Zch_Schimmelstrasse,Sihlfeld,14.61
2022-04-15T23:00:00Z,Zch_Rosengartenstrasse,Wipkingen,14.73
2022-04-16T23:00:00Z,Zch_Stampfenbachstrasse,Rathaus,15.52
2022-04-16T23:00:00Z,Zch_Schimmelstrasse,Sihlfeld,15.47
2022-04-16T23:00:00Z,Zch_Rosengartenstrasse,Wipkingen,15.59
2022-04-17T23:00:00Z,Zch_Stampfenbachstrasse,Rathaus,17.22
2022-04-17T23:00:00Z,Zch_Schimmelstrasse,Sihlfeld,17.31
2022-04-17T23:00:00Z,Zch_Rosengartenstrasse,Wipkingen,17.73
2022-04-18T23:00:00Z,Zch_Stampfenbachstrasse,Rathaus,18.77
2022-04-18T23:00:00Z,Zch_Schimmelstrasse,Sihlfeld,18.87
2022-04-18T23:00:00Z,Zch_Rosengartenstrasse,Wipkingen,19.03
2022-04-19T23:00:00Z,Zch_Stampfenbachstrasse,Rathaus,16.38
2022-04-19T23:00:00Z,Zch_Schimmelstrasse,Sihlfeld,16.36
2022-04-19T23:00:00Z,Zch_Rosengartenstrasse,Wipkingen,16.44
2022-04-20T23:00:00Z,Zch_Stampfenbachstrasse,Rathaus,17.7
2022-04-20T23:00:00Z,Zch_Schimmelstrasse,Sihlfeld,17.62
2022-04-20T23:00:00Z,Zch_Rosengartenstrasse,Wipkingen,17.76
