year,station,temperature
2022,Zch_Schimmelstrasse,26.93
2022,Zch_Rosengartenstrasse,26.8
2022,Zch_Stampfenbachstrasse,27.61
2022,Zch_Schimmelstrasse,27.93
2022,Zch_Rosengartenstrasse,27.75
2022,Zch_Stampfenbachstrasse,19.09
2022,Zch_Schimmelstrasse,19.15
2022,Zch_Rosengartenstrasse,19.11
2022,Zch_Stampfenbachstrasse,26.27
2022,Zch_Schimmelstrasse,26.7
2022,Zch_Rosengartenstrasse,26.2
2022,Zch_Stampfenbachstrasse,30.48
2022,Zch_Schimmelstrasse,30.44
2022,Zch_Rosengartenstrasse,29.95
2022,Zch_Stampfenbachstrasse,25.6
2022,Zch_Schimmelstrasse,26.34
2022,Zch_Rosengartenstrasse,25.19
2022,Zch_Stampfenbachstrasse,26.97
2022,Zch_Schimmelstrasse,27.18
2022,Zch_Rosengartenstrasse,27.43
2022,Zch_Stampfenbachstrasse,26.54
2022,Zch_Schimmelstrasse,27.05
2022,Zch_Rosengartenstrasse,26.46
2022,Zch_Stampfenbachstrasse,24.28
2022,Zch_Schimmelstrasse,24.68
2022,Zch_Rosengartenstrasse,23.69
2022,Zch_Stampfenbachstrasse,23.89
2022,Zch_Schimmelstrasse,24.34
2022,Zch_Rosengartenstrasse,24.15
2022,Zch_Stampfenbachstrasse,25.53
2022,Zch_Schimmelstrasse,25.82
2022,Zch_Rosengartenstrasse,25.54
2022,Zch_Stampfenbachstrasse,25.04
2022,Zch_Schimmelstrasse,25.82
2022,Zch_Rosengartenstrasse,25.19
2022,Zch_Stampfenbachstrasse,25.04
2022,Zch_Schimmelstrasse,25.43
2022,Zch_Rosengartenstrasse,25.08
2022,Zch_Stampfenbachstrasse,27.17
2022,Zch_Schimmelstrasse,27.59
2022,Zch_Rosengartenstrasse,27.4
2022,Zch_Stampfenbachstrasse,30.9
2022,Zch_Schimmelstrasse,31.46
2022,Zch_Rosengartenstrasse,30.97
2022,Zch_Stampfenbachstrasse,33.38
2022,Zch_Schimmelstrasse,33.94
2022,Zch_Rosengartenstrasse,33.75
2022,Zch_Stampfenbachstrasse,29.22
2022,Zch_Schimmelstrasse,29.08
2022,Zch_Rosengartenstrasse,29.36
2022,Zch_Stampfenbachstrasse,28.23
2022,Zch_Schimmelstrasse,28.49
2022,Zch_Rosengartenstrasse,28.57
2022,Zch_Stampfenbachstrasse,29.21
2022,Zch_Schimmelstrasse,29.67
2022,Zch_Rosengartenstrasse,29.5
2022,Zch_Stampfenbachstrasse,32.11
2022,Zch_Schimmelstrasse,32.49
2022,Zch_Rosengartenstrasse,32.46
2022,Zch_Stampfenbachstrasse,34.34
2022,Zch_Schimmelstrasse,34.86
2022,Zch_Rosengartenstrasse,34.57
2022,Zch_Stampfenbachstrasse,32.81
2022,Zch_Schimmelstrasse,33.92
2022,Zch_Rosengartenstrasse,32.7
2022,Zch_Stampfenbachstrasse,28.63
2022,Zch_Schimmelstrasse,28.7
2022,Zch_Rosengartenstrasse,28.5
2022,Zch_Stampfenbachstrasse,33.16
2022,Zch_Schimmelstrasse,33.42
2022,Zch_Rosengartenstrasse,33.37
2022,Zch_Stampfenbachstrasse,27.02
2022,Zch_Schimmelstrasse,27.27
2022,Zch_Rosengartenstrasse,27.15
2022,Zch_Stampfenbachstrasse,30.53
2022,Zch_Schimmelstrasse,31.09
2022,Zch_Rosengartenstrasse,30.75
2022,Zch_Stampfenbachstrasse,34.59
2022,Zch_Schimmelstrasse,35.15
2022,Zch_Rosengartenstrasse,34.53
2022,Zch_Stampfenbachstrasse,26.32
2022,Zch_Schimmelstrasse,26.34
2022,Zch_Rosengartenstrasse,26.68
2022,Zch_Stampfenbachstrasse,26.4
2022,Zch_Schimmelstrasse,26.83
2022,Zch_Rosengartenstrasse,26.53
2022,Zch_Stampfenbachstrasse,29.26
2022,Zch_Schimmelstrasse,29.65
2022,Zch_Rosengartenstrasse,29.24
2022,Zch_Stampfenbachstrasse,24.27
2022,Zch_Schimmelstrasse,24.15
2022,Zch_Rosengartenstrasse,24.37
2022,Zch_Stampfenbachstrasse,27.08
2022,Zch_Schimmelstrasse,27.44
2022,Zch_Rosengartenstrasse,27.29
2022,Zch_Stampfenbachstrasse,29.29
2022,Zch_Schimmelstrasse,29.34
2022,Zch_Rosengartenstrasse,29.47
2022,Zch_Stampfenbachstrasse,30.48
2022,Zch_Schimmelstrasse,31.23
