"baumnummer","baumartlat","baumartdt","standort","unterhaltsbezirk","vermessbezirk","faellursache","faellgrund","ersatzplfanzung","neuebaumart","kategorie","objectid","geometry"
"SE-2048","Picea abies","Rottanne, Fichte","Schulhaus Buhn; Höhenring, 36","Oerlikon Nord, Seebach","Seebach","absterbend","Vitalität (absterbend, abgestorben)","in Abklärung","Picea abies","Parkbaum","197","POINT (2683538 1252803.9)"
"SE-1958","Carpinus betulus","Gemeine Hain- oder Weissbuche","Schulhaus Buhnrain; Buhnrain, 40","Oerlikon Nord, Seebach","Seebach","absterbend","Verkehrssicherheit (stand- oder bruchgefährdet)","in Abklärung","Carpinus betulus","Parkbaum","198","POINT (2683223.8 1252688)"
"SE-1960","Carpinus betulus","Gemeine Hain- oder Weissbuche","Schulhaus Buhnrain; Buhnrain, 40","Oerlikon Nord, Seebach","Seebach","absterbend","Verkehrssicherheit (stand- oder bruchgefährdet)","in Abklärung","Carpinus betulus","Parkbaum","199","POINT (2683221.5 1252686.6)"
"SE-1880","Betula pendula","Sand-Birke, Weiss-Birke","Schulhaus Kolbenacker; Sperletweg, 71","Oerlikon Nord, Seebach","Seebach","absterbend","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Betula pendula","Parkbaum","200","POINT (2683957 1253409.6)"
"SE-1881","Betula pendula","Sand-Birke, Weiss-Birke","Schulhaus Kolbenacker; Sperletweg, 71","Oerlikon Nord, Seebach","Seebach","absterbend","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Betula pendula","Parkbaum","201","POINT (2683956.2 1253410.9)"
"OE-3982","Quercus rubra","Amerikanische Rot-Eiche","Schulhaus Kügeliloo; Maienstrasse, 9","Oerlikon Nord, Seebach","Oerlikon","abgestorben","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Quercus rubra","Parkbaum","202","POINT (2682306.2 1251668.4)"
"OE-4006","Betula pendula","Sand-Birke, Weiss-Birke","Schulhaus Kügeliloo; Maienstrasse, 9","Oerlikon Nord, Seebach","Oerlikon","abgestorben","Vitalität (absterbend, abgestorben)","in Abklärung","Betula pendula","Parkbaum","203","POINT (2682209 1251705.6)"
"OE-4058","Prunus serrulata 'Kanzan'","Japanische Blüten-Kirsche, Japanische Nelken-Kirsche","Schulhaus Kügeliloo; Maienstrasse, 9","Oerlikon Nord, Seebach","Oerlikon","absterbend","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Prunus serrulata 'Kanzan'","Parkbaum","204","POINT (2682312.2 1251661.5)"
"SE-1713","Acer platanoides","Spitz-Ahorn","Schulhaus Staudenbühl; Himmeristrasse, 57","Oerlikon Nord, Seebach","Seebach","absterbend","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Acer platanoides","Parkbaum","205","POINT (2682806.5 1252604.1)"
"SE-39","Carpinus betulus","Gemeine Hain- oder Weissbuche","Schulhaus Staudenbühl; Himmeristrasse, 57","Oerlikon Nord, Seebach","Seebach","absterbend","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Carpinus betulus","Parkbaum","206","POINT (2682783.8 1252630.4)"
"SE-74","Robinia pseudoacacia","Robinie, Schein-Akazie","Seebacherstrasse","Oerlikon Nord, Seebach","Seebach","Sicherheitsrisiko","Verkehrssicherheit (stand- oder bruchgefährdet)","1:1-Ersatz","Quercus palustris","Strassenbaum","207","POINT (2683353.2 1253063)"
"SE-3937","Prunus avium 'Plena'","Vogel-Kirsche, Süss-Kirsche (gefüllte)","Traktorenstrasse, 8","Oerlikon Nord, Seebach","Seebach","abgestorben","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Prunus avium 'Plena'","Strassenbaum","208","POINT (2682939.5 1253797.2)"
"OE-1776","Fagus sylvatica 'Riversii'","Blutbuche","Wahlen-Park; Ruedi-Walter-Strasse, 0","Oerlikon Nord, Seebach","Oerlikon","absterbend","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Fagus sylvatica 'Riversii'","Parkbaum","209","POINT (2683168 1252163.2)"
"SE-2142","Corylus colurna","Baumhasel","Weisshau","Oerlikon Nord, Seebach","Seebach","Krankheit","Verkehrssicherheit (stand- oder bruchgefährdet)","1:1-Ersatz","Corylus colurna","Parkbaum","210","POINT (2683257.5 1252442.8)"
"SE-4483","Robinia pseudoacacia","Robinie, Schein-Akazie","","Oerlikon Nord, Seebach","Seebach","absterbend","Verkehrssicherheit (stand- oder bruchgefährdet)","in Abklärung","Robinia pseudoacacia","Parkbaum","211","POINT (2683127.2 1252883.5)"
"SE-4979","Juglans regia (rotes Blatt)","Walnuss-Obstgehölz (rotes Blatt)","","Oerlikon Nord, Seebach","Seebach","Krankheit","Verkehrssicherheit (stand- oder bruchgefährdet)","1:1-Ersatz","Juglans regia (rotes Blatt)","Parkbaum","212","POINT (2684303.8 1253630)"
"SW-11151","Fraxinus excelsior","Gemeine Esche","Auwiesenweg","Oerlikon Süd, Schwamendingen","Schwamendingen","abgestorben","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Fraxinus excelsior","Parkbaum","220","POINT (2685566 1252615.2)"
"OE-424","Crataegus x media 'Paul's Scarlet'","Zweigriffliger Weissdorn (laevigata x monogyna)","Berninastrasse, 74","Oerlikon Süd, Schwamendingen","Oerlikon","absterbend","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Magnolia kobus","Strassenbaum","221","POINT (2683429.5 1251004.8)"
"OE-4674","Prunus serrulata 'Kanzan'","Japanische Blüten-Kirsche, Japanische Nelken-Kirsche","Berninastrasse, 81","Oerlikon Süd, Schwamendingen","Oerlikon","absterbend","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Magnolia kobus","Strassenbaum","222","POINT (2683286 1251053.4)"
"OE-3778","Liriodendron tulipifera","Tulpenbaum","Berninastrasse, 130","Oerlikon Süd, Schwamendingen","Oerlikon","absterbend","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Liriodendron tulipifera","Strassenbaum","223","POINT (2683039.2 1251364.4)"
"OE-462","Crataegus x media 'Paul's Scarlet'","Zweigriffliger Weissdorn (laevigata x monogyna)","Berninastrasse","Oerlikon Süd, Schwamendingen","Oerlikon","absterbend","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Magnolia kobus","Strassenbaum","224","POINT (2683307 1251053.2)"
"OE-463","Crataegus x media 'Paul's Scarlet'","Zweigriffliger Weissdorn (laevigata x monogyna)","Berninastrasse","Oerlikon Süd, Schwamendingen","Oerlikon","absterbend","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Magnolia kobus","Strassenbaum","225","POINT (2683301.5 1251044.8)"
"SW-8675","Cornus controversa","Pagoden-Hartriegel","FH Schwamendingen; Stettbachstrasse, 70","Oerlikon Süd, Schwamendingen","Schwamendingen","abgestorben","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Cornus controversa","Parkbaum","226","POINT (2685787 1250731.6)"
"SW-11133","Quercus robur","Stiel-Eiche","Gemeinschaftszentrum Heerenschürli; Helen-Keller-Strasse, 55","Oerlikon Süd, Schwamendingen","Schwamendingen","abgestorben","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Quercus robur","Parkbaum","227","POINT (2687006.5 1250777)"
"SW-2789","Pinus sylvestris","Gewöhnlicher Kiefer, Wald-Kiefer, Föhre","Grünzug Glattwiesen; Glattwiesenstrasse, 20-27","Oerlikon Süd, Schwamendingen","Schwamendingen","abgestorben","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Pinus sylvestris","Parkbaum","228","POINT (2686302.5 1250895.6)"
"SW-7706","Corylus colurna","Baumhasel","Grünzug Riedgraben; Riedgrabenweg,","Oerlikon Süd, Schwamendingen","Schwamendingen","absterbend","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Corylus colurna","Parkbaum","229","POINT (2684523.2 1251770)"
"SW-253","Acer platanoides","Spitz-Ahorn","Grünzug Saatlen; Saatlenstrasse,","Oerlikon Süd, Schwamendingen","Schwamendingen","Krankheit","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Acer platanoides","Parkbaum","230","POINT (2685285.2 1251188.2)"
"OE-4490","Platanus x hispanica 'Malburg'","Platane (occidentalis x orientalis)","Oerlikonerstrasse, 99","Oerlikon Süd, Schwamendingen","Oerlikon","absterbend","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Platanus x hispanica 'Malburg'","Strassenbaum","231","POINT (2683651.2 1251155.1)"
"OE-651","Acer platanoides","Spitz-Ahorn","Regensbergstrasse","Oerlikon Süd, Schwamendingen","Oerlikon","absterbend","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Acer platanoides","Strassenbaum","232","POINT (2683398.5 1251339.8)"
"OE-652","Acer platanoides","Spitz-Ahorn","Regensbergstrasse","Oerlikon Süd, Schwamendingen","Oerlikon","absterbend","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Acer platanoides","Strassenbaum","233","POINT (2683406.8 1251335.8)"
"SW-9407","Platanus x hispanica","Platane (occidentalis x orientalis)","Ueberlandstrasse, 20220714","Oerlikon Süd, Schwamendingen","Schwamendingen","Sturmschaden","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Platanus x hispanica","Strassenbaum","238","POINT (2684411.5 1250984.5)"
"SW-11265","Fraxinus excelsior","Gemeine Esche","Verkehrsschulanlage; Aubruggweg, 2","Oerlikon Süd, Schwamendingen","Schwamendingen","abgestorben","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Fraxinus excelsior","Parkbaum","239","POINT (2685256.5 1251903.5)"
"SW-11593","Fraxinus excelsior","Gemeine Esche","Verkehrsschulanlage; Aubruggweg, 2","Oerlikon Süd, Schwamendingen","Schwamendingen","abgestorben","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Fraxinus excelsior","Parkbaum","240","POINT (2685273 1251892.2)"
"SW-10047","Alnus glutinosa","Schwarz-Erle, Rot-Erle","Weibelackerweg","Oerlikon Süd, Schwamendingen","Schwamendingen","absterbend","Vitalität (absterbend, abgestorben)","1:1-Ersatz","Alnus glutinosa","Parkbaum","241","POINT (2686775.8 1250462.8)"
"AU-879","Aesculus hippocastanum","Gemeine Rosskastanie","Kasernenareal; Militärstrasse,","Wiedikon, Aussersihl","Aussersihl","Krankheit","Verkehrssicherheit (stand- oder bruchgefährdet)","1:1-Ersatz","Aesculus hippocastanum 'Baumannii'","Parkbaum","352","POINT (2682547.2 1247943.6)"
