"objid","baumnummer","geometry"
"203627","WO-5531","POINT (2682681.5 1244129.5)"
"167522","WO-4329","POINT (2682865.5 1244086.9)"
"162794","WO-5138","POINT (2682932.8 1244138.1)"
"181850","WO-4317","POINT (2682841.5 1244070.9)"
"204665","WO-5133","POINT (2683009.2 1244148.2)"
"223394","WO-8556","POINT (2682875.2 1244079.8)"
"204659","WO-5130","POINT (2683018.5 1244141.2)"
"213509","WO-8304","POINT (2682795.8 1244281.8)"
"180833","WO-3481","POINT (2682995.8 1244261.2)"
"203930","WO-5529","POINT (2682840.5 1244074.5)"
"222905","WO-8547","POINT (2682881.8 1244065.8)"
"216737","WO-8502","POINT (2682708.5 1244144.4)"
"191942","WO-4328","POINT (2682856.8 1244080.2)"
"165593","WO-4322","POINT (2682782 1244084.9)"
"203624","WO-5533","POINT (2682695.8 1244098.8)"
"213521","WO-8307","POINT (2682811.2 1244261.5)"
"162848","WO-5120","POINT (2682946 1244246.8)"
"167528","WO-4321","POINT (2682776.5 1244080.9)"
"204293","WO-5143","POINT (2682917.8 1244168.6)"
"204278","WO-5148","POINT (2682894.2 1244214.6)"
"204275","WO-5149","POINT (2682890.8 1244221.9)"
"204662","WO-5132","POINT (2683014 1244135.8)"
"223385","WO-8553","POINT (2682880.2 1244071)"
"162854","WO-5122","POINT (2682901.8 1244236.2)"
"223376","WO-8550","POINT (2682879.5 1244070.8)"
"222902","WO-8546","POINT (2682886.2 1244058.8)"
"162806","WO-5136","POINT (2682963 1244133)"
"83360","WO-1414","POINT (2682702.8 1244093.8)"
"162800","WO-5140","POINT (2682954.2 1244142)"
"176903","WO-1413","POINT (2682683.2 1244122.4)"
"229064","WO-6923","POINT (2682695.5 1244111.2)"
"6248","WO-1494","POINT (2682643.8 1244100.6)"
"204272","WO-3484","POINT (2682979.8 1244245.8)"
"204653","WO-5151","POINT (2682971 1244128.6)"
"223391","WO-8555","POINT (2682876.8 1244079.1)"
"213512","WO-8303","POINT (2682797 1244279.4)"
"40637","WO-6754","POINT (2682954.2 1244095.5)"
"204269","WO-5124","POINT (2683003.8 1244221)"
"40916","WO-5659","POINT (2682787.2 1244293)"
"203933","WO-4700","POINT (2682833.5 1244073.1)"
"162833","WO-5115","POINT (2682986.5 1244251.9)"
"213506","WO-8305","POINT (2682793.8 1244283.8)"
"224348","WO-5660","POINT (2682799 1244282.4)"
"203939","WO-4327","POINT (2682828.5 1244072.4)"
"162827","WO-5125","POINT (2683007.5 1244202.6)"
"224330","WO-4660","POINT (2682637.8 1244271.4)"
"204263","WO-4323","POINT (2682812.8 1244099.2)"
"203630","WO-5530","POINT (2682681 1244136.2)"
"6272","WO-1507","POINT (2682676 1244045.5)"
"162821","WO-5128","POINT (2683015 1244160.6)"
"222896","WO-8544","POINT (2682886 1244060)"
"40922","WO-6759","POINT (2682804.2 1244270)"
"40640","WO-6752","POINT (2682955 1244094.1)"
"223388","WO-8554","POINT (2682875.8 1244078.8)"
"203945","WO-4325","POINT (2682821.5 1244084.4)"
"211109","WO-8508","POINT (2682684.5 1244113.6)"
"102341","WO-6970","POINT (2682801.8 1244274.5)"
"223382","WO-8552","POINT (2682879.8 1244072.6)"
"162803","WO-5137","POINT (2682943.8 1244122.5)"
"154853","WO-5150","POINT (2682969 1244085.5)"
"174251","WO-6509","POINT (2683002 1244300.9)"
"179342","WO-5123","POINT (2682899.8 1244235.6)"
"223379","WO-8551","POINT (2682878.8 1244072.1)"
"6341","WO-1508","POINT (2682670.2 1244054)"
"204650","WO-5141","POINT (2682927.8 1244148)"
"6269","WO-1506","POINT (2682676.2 1244051.5)"
"9290","WO-1503","POINT (2682639.2 1244087.5)"
"162839","WO-5117","POINT (2682956.5 1244249.6)"
"162797","WO-5139","POINT (2682945.8 1244137.9)"
"6266","WO-1505","POINT (2682662.2 1244047.8)"
"162830","WO-5116","POINT (2682987.2 1244251.2)"
"43415","WO-6751","POINT (2682943.5 1244117.1)"
"180830","WO-3483","POINT (2683002.5 1244231.4)"
"162851","WO-5121","POINT (2682935.5 1244232)"
"154847","WO-4698","POINT (2682762.2 1244070.9)"
"223373","WO-8549","POINT (2682883 1244065)"
"203942","WO-4326","POINT (2682824.8 1244078.6)"
"174248","WO-6510","POINT (2682992.8 1244293.5)"
